GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,AGE_YEARS,YEARS_EMPLOYED,Family_Members,label
F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,30.0,4.0,2,0
M,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,54.0,3.0,2,0
F,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,49.0,2.0,1,0
M,N,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,34.0,6.0,4,0
F,Y,Y,2,121500.0,Working,Incomplete higher,Married,House / apartment,31.0,0.0,4,0
M,Y,N,1,360000.0,State servant,Secondary / secondary special,Married,House / apartment,31.0,10.0,3,0
F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,14.0,4,1
M,N,Y,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.0,0.0,3,0
M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,27.0,5.0,2,0
F,N,N,3,180000.0,Working,Higher education,Married,House / apartment,37.0,19.0,5,0
F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,66.0,0.0,1,0
F,N,Y,0,112500.0,Pensioner,Higher education,Married,House / apartment,60.0,0.0,2,0
M,N,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,62.0,0.0,2,0
F,N,Y,0,202500.0,Commercial associate,Higher education,Single / not married,House / apartment,39.0,6.0,1,0
M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,61.0,11.0,2,0
M,N,Y,1,231750.0,Working,Secondary / secondary special,Married,House / apartment,39.0,0.0,3,0
M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,With parents,29.0,6.0,1,0
F,N,Y,0,67050.0,Pensioner,Higher education,Married,House / apartment,67.0,0.0,2,0
M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,5.0,3,1
M,Y,Y,2,225000.0,Working,Higher education,Married,House / apartment,37.0,3.0,4,0
F,N,Y,0,135000.0,Pensioner,Lower secondary,Married,House / apartment,62.0,0.0,2,0
F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,43.0,17.0,3,0
F,N,Y,0,112500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,51.0,17.0,2,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34.0,11.0,2,0
F,N,N,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.0,0.0,2,0
F,N,Y,0,112500.0,Working,Higher education,Married,With parents,26.0,2.0,2,0
F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,52.0,7.0,1,1
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.0,0.0,1,0
F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46.0,7.0,2,0
M,Y,Y,1,189000.0,Working,Higher education,Married,House / apartment,36.0,10.0,3,0
F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,56.0,26.0,2,0
F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,48.0,5.0,1,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,2,1
M,Y,N,2,112500.0,Working,Higher education,Married,House / apartment,43.0,18.0,4,0
M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,55.0,2.0,2,0
M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,27.0,5.0,1,0
F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,49.0,7.0,2,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,62.0,12.0,1,0
F,N,N,0,81000.0,Working,Secondary / secondary special,Single / not married,House / apartment,49.0,1.0,1,0
F,N,Y,2,153000.0,Commercial associate,Higher education,Married,House / apartment,36.0,4.0,4,0
F,N,Y,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,2,0
F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.0,3.0,2,0
F,N,N,1,85500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.0,2.0,3,0
M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,59.0,5.0,2,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,26.0,8.0,2,0
M,Y,N,1,351000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44.0,23.0,3,0
F,Y,Y,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,66.0,0.0,2,0
M,Y,Y,2,900000.0,Commercial associate,Higher education,Married,House / apartment,27.0,3.0,4,0
M,Y,N,2,135000.0,Working,Higher education,Married,House / apartment,35.0,4.0,4,0
F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,54.0,1.0,2,0
F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,31.0,5.0,2,1
F,Y,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39.0,6.0,2,0
M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,3,1
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,58.0,0.0,1,0
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,3.0,3,1
M,Y,Y,1,360000.0,Working,Higher education,Married,House / apartment,43.0,4.0,3,0
M,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,50.0,4.0,2,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,58.0,0.0,2,0
F,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,48.0,3.0,2,0
F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.0,13.0,2,0
F,Y,Y,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,37.0,6.0,2,0
F,Y,Y,3,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,34.0,16.0,5,0
M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,10.0,4,0
F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,8.0,3,0
F,Y,Y,2,121500.0,Working,Incomplete higher,Married,House / apartment,31.0,0.0,4,0
F,N,Y,0,193500.0,Working,Secondary / secondary special,Married,House / apartment,58.0,31.0,2,0
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,40.0,10.0,2,0
F,N,N,0,247500.0,Working,Higher education,Married,House / apartment,39.0,20.0,2,0
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,58.0,0.0,2,0
M,Y,N,1,270000.0,Working,Higher education,Married,Rented apartment,30.0,1.0,3,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,5.0,2,0
M,N,N,3,180000.0,Working,Secondary / secondary special,Married,House / apartment,39.0,10.0,5,0
F,Y,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,2,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,45.0,12.0,2,0
M,Y,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,34.0,2.0,1,0
M,Y,Y,0,72000.0,Working,Higher education,Married,House / apartment,60.0,2.0,2,0
F,N,Y,2,270000.0,Commercial associate,Higher education,Married,House / apartment,42.0,6.0,4,0
M,N,Y,0,225000.0,State servant,Higher education,Married,House / apartment,25.0,0.0,2,0
M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,53.0,10.0,2,0
F,N,Y,2,225000.0,Working,Higher education,Married,House / apartment,43.0,5.0,4,0
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,2,0
M,N,Y,1,292500.0,Working,Secondary / secondary special,Married,House / apartment,46.0,5.0,3,0
M,Y,Y,0,360000.0,Pensioner,Secondary / secondary special,Married,House / apartment,38.0,0.0,2,0
F,Y,Y,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,42.0,20.0,1,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,67.0,0.0,2,0
M,N,N,0,180000.0,Working,Higher education,Married,With parents,37.0,7.0,2,0
F,N,Y,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,1.0,2,0
M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,3.0,2,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,48.0,5.0,1,0
M,Y,Y,0,83250.0,Working,Secondary / secondary special,Married,House / apartment,56.0,17.0,2,0
M,Y,N,2,180000.0,Commercial associate,Higher education,Married,House / apartment,43.0,7.0,4,0
F,N,Y,0,166500.0,State servant,Higher education,Married,House / apartment,65.0,37.0,2,0
M,Y,N,1,202500.0,State servant,Higher education,Married,House / apartment,37.0,7.0,3,0
F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,44.0,5.0,1,0
F,N,N,1,157500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,35.0,15.0,2,0
F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55.0,0.0,2,0
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,4.0,2,0
F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,2,1
F,Y,N,0,153000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.0,0.0,1,0
F,Y,N,1,225000.0,Working,Higher education,Single / not married,With parents,38.0,15.0,2,0
M,N,N,0,121500.0,State servant,Incomplete higher,Single / not married,House / apartment,25.0,4.0,1,0
F,Y,N,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,1.0,2,0
F,N,Y,0,157500.0,State servant,Secondary / secondary special,Widow,House / apartment,63.0,6.0,1,0
F,N,Y,2,270000.0,Commercial associate,Higher education,Married,House / apartment,42.0,6.0,4,0
M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,53.0,1.0,1,1
F,Y,N,0,180000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,56.0,0.0,1,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,40.0,4.0,1,0
M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,41.0,19.0,3,1
F,Y,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,5.0,2,0
M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,48.0,7.0,1,0
F,N,Y,0,247500.0,Commercial associate,Higher education,Married,House / apartment,33.0,8.0,2,0
F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34.0,2.0,3,0
F,Y,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,6.0,2,0
F,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,40.0,13.0,3,0
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,56.0,0.0,1,0
F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,48.0,9.0,1,0
F,N,Y,0,157500.0,State servant,Higher education,Separated,House / apartment,57.0,31.0,1,0
F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,42.0,22.0,2,0
F,N,N,0,175500.0,Working,Secondary / secondary special,Single / not married,House / apartment,51.0,2.0,1,0
M,N,Y,0,166500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,51.0,10.0,1,0
F,N,Y,2,198000.0,Commercial associate,Incomplete higher,Separated,House / apartment,43.0,8.0,3,0
F,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.0,4.0,2,0
F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,46.0,1.0,1,0
F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,36.0,11.0,3,1
F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,0.0,2,0
F,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,33.0,14.0,3,0
F,N,N,0,198000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.0,0.0,1,0
F,N,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,33.0,7.0,1,0
M,Y,Y,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,40.0,6.0,2,0
F,N,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,27.0,8.0,3,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,36.0,2.0,2,0
F,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1.0,3,1
F,N,Y,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,47.0,12.0,2,0
M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,27.0,8.0,1,0
F,N,Y,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,42.0,9.0,1,0
F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,With parents,40.0,1.0,4,0
M,Y,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,25.0,1.0,1,0
M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,5.0,3,0
M,Y,Y,0,180000.0,Working,Incomplete higher,Married,House / apartment,47.0,13.0,2,0
F,N,N,0,45000.0,Working,Secondary / secondary special,Separated,House / apartment,39.0,2.0,1,0
M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,36.0,4.0,3,1
F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.0,0.0,1,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,With parents,31.0,3.0,1,0
F,N,Y,0,360000.0,State servant,Higher education,Married,House / apartment,44.0,9.0,2,0
F,N,Y,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,8.0,2,0
F,N,N,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,56.0,0.0,2,0
F,N,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,35.0,1.0,2,0
F,N,N,1,108000.0,Working,Secondary / secondary special,Separated,House / apartment,39.0,11.0,2,0
F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,67.0,0.0,1,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,38.0,20.0,2,0
F,N,N,1,76500.0,Working,Higher education,Married,House / apartment,44.0,2.0,3,0
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,1,0
F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,33.0,4.0,1,0
M,Y,Y,1,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,34.0,7.0,3,0
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,50.0,2.0,1,1
F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,5.0,1,1
M,Y,Y,0,157500.0,Working,Higher education,Married,House / apartment,45.0,19.0,2,0
M,Y,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,33.0,4.0,1,0
M,N,N,2,171000.0,Working,Secondary / secondary special,Married,Municipal apartment,38.0,16.0,4,0
M,N,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.0,4.0,1,0
F,N,N,1,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,30.0,9.0,2,0
F,N,Y,0,207000.0,Working,Secondary / secondary special,Single / not married,House / apartment,51.0,7.0,1,0
F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,57.0,3.0,2,0
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,2,1
M,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,32.0,12.0,2,0
F,N,Y,1,180000.0,Pensioner,Higher education,Married,House / apartment,52.0,0.0,3,0
M,Y,Y,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,36.0,10.0,5,0
M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,27.0,8.0,2,0
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,6.0,3,0
M,N,N,2,202500.0,Working,Secondary / secondary special,Married,With parents,30.0,2.0,4,0
F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,7.0,2,0
F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,43.0,1.0,1,0
F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,1,1
M,Y,N,0,202500.0,Pensioner,Higher education,Married,House / apartment,55.0,0.0,2,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,47.0,11.0,1,0
F,Y,N,1,112500.0,Working,Higher education,Single / not married,House / apartment,27.0,4.0,2,0
F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,34.0,8.0,2,0
F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,33.0,11.0,2,0
F,Y,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,2,0
F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,62.0,6.0,2,0
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,1.0,2,1
M,Y,N,1,180000.0,Working,Higher education,Married,House / apartment,31.0,1.0,3,0
F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,1,1
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,1,0
F,N,N,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,37.0,8.0,2,0
F,N,Y,0,103500.0,Working,Incomplete higher,Married,House / apartment,32.0,13.0,2,0
F,N,Y,0,360000.0,Commercial associate,Higher education,Married,House / apartment,30.0,11.0,2,0
F,Y,Y,0,157500.0,Pensioner,Lower secondary,Married,House / apartment,60.0,0.0,2,0
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,6.0,2,0
M,N,Y,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,32.0,2.0,3,0
F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,45.0,8.0,3,0
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,31.0,1.0,3,0
F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,37.0,15.0,2,0
M,Y,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,38.0,10.0,2,0
M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,66.0,0.0,2,0
F,Y,Y,1,157500.0,Working,Incomplete higher,Civil marriage,House / apartment,36.0,8.0,3,0
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.0,0.0,2,0
F,Y,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,6.0,2,0
F,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,19.0,2,0
M,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,5.0,3,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.0,0.0,2,0
F,N,N,0,234000.0,State servant,Higher education,Civil marriage,House / apartment,60.0,14.0,2,0
F,N,Y,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,45.0,10.0,3,0
M,Y,N,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,47.0,2.0,1,0
M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48.0,10.0,2,0
F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,10.0,3,1
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,1,1
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,37.0,1.0,3,0
F,Y,Y,1,333000.0,Commercial associate,Higher education,Married,House / apartment,32.0,4.0,3,0
M,Y,N,1,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,37.0,4.0,3,0
M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,38.0,8.0,3,0
F,N,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44.0,17.0,3,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,55.0,19.0,2,0
F,N,Y,1,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,33.0,8.0,3,0
F,N,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,31.0,7.0,2,0
M,Y,Y,0,450000.0,Working,Higher education,Married,House / apartment,52.0,12.0,2,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,2,0
M,Y,N,2,112500.0,Working,Higher education,Married,House / apartment,40.0,0.0,4,0
M,Y,Y,0,405000.0,Working,Higher education,Married,House / apartment,32.0,5.0,2,0
M,N,N,1,148500.0,Working,Secondary / secondary special,Married,House / apartment,37.0,0.0,3,0
F,Y,Y,0,405000.0,Commercial associate,Incomplete higher,Married,House / apartment,51.0,11.0,2,0
F,N,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,43.0,0.0,2,0
M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,51.0,6.0,2,0
F,N,Y,0,283500.0,Working,Secondary / secondary special,Married,House / apartment,49.0,2.0,2,0
M,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,2,0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,2.0,2,0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,55.0,1.0,2,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,4.0,2,0
F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,25.0,0.0,2,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,41.0,3.0,2,0
F,N,Y,0,72000.0,Working,Secondary / secondary special,Widow,House / apartment,55.0,6.0,1,0
M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,34.0,1.0,2,0
M,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,28.0,3.0,2,0
F,N,N,1,157500.0,Working,Secondary / secondary special,Civil marriage,With parents,32.0,10.0,3,0
F,Y,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,2,1
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,7.0,2,1
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,54.0,12.0,2,0
M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.0,0.0,2,0
F,N,Y,1,315000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,31.0,7.0,3,0
